Concentration,VOC,JSC,ff,PCE
0,0.999995,21.343157,0.560882,11.970939
0,0.875077,18.314171,0.616703,9.883464
0,0.54992,17.202486,0.355312,3.361248
0,0.875058,24.525171,0.676006,14.507735
7,0.949881,24.707071,0.490942,11.521818
7,0.900158,18.924929,0.501796,8.548321
7,0.900172,16.669914,0.465846,6.990386
7,0.975064,22.828286,0.555764,12.37078
15,0.949722,22.063757,0.510936,10.706361
15,0.874798,15.903871,0.445055,6.191908
15,0.924877,18.764757,0.464884,8.068101
15,0.949722,24.565143,0.553036,12.902374
29,0.949923,20.4825,0.481608,9.370552
29,0.900195,15.494686,0.384283,5.36007
29,0.900205,18.079457,0.413832,6.73521
29,0.949899,23.9543,0.542234,12.338086
36,0.949707,20.087971,0.482279,9.20077
36,0.924841,15.555257,0.427334,6.147687
36,0.949695,17.490071,0.425203,7.06272
36,0.949704,23.329257,0.528384,11.706824
43,0.949728,21.073914,0.461343,9.233542
43,0.799895,15.889814,0.429944,5.464671
43,0.84997,18.030086,0.423879,6.495955
43,0.949722,23.8362,0.519875,11.768817
50,0.9248916,16.744242857,0.4802207857469849,7.436991814725134
50,0.8748742,11.511362857,0.40381556274214253,4.066824259067166
50,0.9249373,14.353928571,0.27488866628405184,3.649554962343324
50,0.9497914,21.076257143,0.4871284727580856,9.751361041992661
